weekend,pt,cbd,ptn,worker,trips,tcost
1,2.718478206531491,10.28120124340057,14.78359985351563,1,10,17.13888740539551
1,.4401651685954111,11.95378661155701,13.07075905799866,1,1,13.05501174926758
0,.4952557132119794,3.264711856842041,4.794991970062256,1,3,12.50051307678223
1,4.688383457775586,10.97753989696503,27.95918655395508,1,2,17.78980255126953
1,.2529410918537036,15.03991413116455,0,1,9,16.32539558410645
0,1.975624403426463,2.04987382888794,9.656180828809738,1,11,18.6418399810791
0,.5772236025261041,11.19295597076416,5.043144702911377,1,2,13.62866592407227
1,1.391741014892604,5.576822996139526,19.25199413299561,1,1,13.06125545501709
0,3.895550290872738,4.302456855773926,5.414661884307861,1,1,17.69427490234375
1,1.772689190375667,9.061945013701916,10.81114238500595,1,7,17.68759155273438
0,.1437469467429054,0,11.6325751543045,1,2,10.42016983032227
1,.1597732364750006,5.797761201858521,6.951267719268799,1,2,11.8447322845459
1,8.36889383676702,8.124545693397522,6.404927492141724,1,2,19.31878852844238
0,2.537591919260324,25.86523818969727,6.282484531402588,1,5,17.48505020141602
1,3.639356904495043,12.05869698524475,18.45681285858154,1,3,14.99941921234131
0,5.153965714920789,10.17981028556824,0,1,1,15.82781219482422
0,.1957979314214483,10.58630621433258,10.02541353926063,0,0,13.03911018371582
1,2.492273830922128,5.511437654495239,12.20654964447022,1,1,13.65329933166504
0,4.288246590620789,22.77176094055176,0,1,4,18.97816848754883
1,1.198055575989786,11.39106631278992,0,1,0,11.60900688171387
0,.9402046939776622,7.411409378051758,25.57406997680664,1,0,10.82507133483887
0,1.046687507230062,18.37344932556152,8.400735139846802,1,1,15.19889354705811
0,3.898366236250812,1.948341369628906,3.955312252044678,1,2,15.82150650024414
1,1.296229579808883,12.46966195106506,5.030401229858398,1,11,16.19173240661621
0,1.229661255434315,19.7886266708374,26.1382942199707,1,2,13.89800262451172
0,.328066805390986,17.07239818572998,9.373054027557373,1,4,15.94119548797607
0,3.075825429532589,0,17.96684551239014,1,2,16.7414493560791
1,.3954802860446981,0,3.213860034942627,1,2,13.24914932250977
0,1.681116625512129,11.854159116745,6.719412088394165,1,0,12.98095226287842
0,3.800656438906371,21.28976821899414,7.023735284805298,1,5,16.60444450378418
1,.617888990304979,4.32147216796875,11.07387483119965,1,1,13.98131847381592
1,.1251001979770325,11.77451586723328,12.31629824638367,1,1,14.00674343109131
0,.6702718767934826,15.92412900924683,0,0,3,17.16613006591797
0,1.892153646014773,20.02236175537109,10.20400582253933,1,1,14.6052360534668
1,5.399539566487587,3.187319755554199,6.110933542251587,1,1,15.09478950500488
0,.0330790301847938,15.39295673370361,14.71814250946045,0,2,12.57864189147949
0,2.14912402144125,3.008545398712158,0,1,0,12.85676670074463
0,8.204696358000035,0,6.248083829879761,1,0,16.61337661743164
1,6.279561434966293,0,4.094300270080566,1,0,16.59822654724121
0,4.321835808908674,5.60261082649231,18.16607570648193,1,13,15.39964866638184
0,4.83664901837352,21.12828063964844,9.026831984519959,1,0,18.04099464416504
1,1.12624550408106,7.032241821289063,9.903618961572647,1,2,10.20906734466553
